time_s,ecg_raw,ecg_cleaned
2.330000000000000127e-01,5.340000000000000000e+02,6.365128211168958217e+01
2.340000000000000135e-01,5.320000000000000000e+02,6.442390967635077459e+01
2.349999999999999867e-01,5.320000000000000000e+02,6.519103225180292327e+01
2.359999999999999876e-01,5.360000000000000000e+02,6.590747075038588321e+01
2.369999999999999885e-01,5.420000000000000000e+02,6.652657375963869413e+01
2.379999999999999893e-01,5.440000000000000000e+02,6.700254729328733561e+01
2.389999999999999902e-01,5.430000000000000000e+02,6.729298180464812162e+01
2.399999999999999911e-01,5.410000000000000000e+02,6.736138546095824609e+01
2.409999999999999920e-01,5.430000000000000000e+02,6.717952576099771989e+01
2.419999999999999929e-01,5.470000000000000000e+02,6.672939708723679075e+01
2.429999999999999938e-01,5.450000000000000000e+02,6.600465720304464412e+01
2.439999999999999947e-01,5.410000000000000000e+02,6.501140918206318986e+01
2.449999999999999956e-01,5.380000000000000000e+02,6.376825309062672176e+01
2.459999999999999964e-01,5.370000000000000000e+02,6.230559336282753691e+01
2.469999999999999973e-01,5.340000000000000000e+02,6.066425030861994117e+01
2.479999999999999982e-01,5.310000000000000000e+02,5.889347323762432751e+01
2.489999999999999991e-01,5.310000000000000000e+02,5.704848291025584928e+01
2.500000000000000000e-01,5.310000000000000000e+02,5.518768459627280976e+01
2.510000000000000009e-01,5.310000000000000000e+02,5.336969482719273827e+01
2.520000000000000018e-01,5.290000000000000000e+02,5.165032250197816666e+01
2.530000000000000027e-01,5.250000000000000000e+02,5.007964751566567685e+01
2.540000000000000036e-01,5.200000000000000000e+02,4.869935196072371042e+01
2.550000000000000044e-01,5.180000000000000000e+02,4.754047407024318517e+01
2.560000000000000053e-01,5.160000000000000000e+02,4.662175864490487953e+01
2.570000000000000062e-01,5.160000000000000000e+02,4.594875544911213439e+01
2.580000000000000071e-01,5.180000000000000000e+02,4.551376434049427644e+01
2.590000000000000080e-01,5.190000000000000000e+02,4.529665000677577069e+01
2.600000000000000089e-01,5.210000000000000000e+02,4.526646494135572141e+01
2.610000000000000098e-01,5.220000000000000000e+02,4.538374265109695216e+01
2.620000000000000107e-01,5.230000000000000000e+02,4.560326595519178738e+01
