time_s,ecg
0.08799999999999998,400.6285408785704
0.08899999999999998,400.62942927810656
0.08999999999999998,400.63360152246213
0.091,400.6415453593807
0.092,400.6519632095547
0.09300000000000001,400.6620448931796
0.094,400.6688751214973
0.095,400.6718539349814
0.096,400.672587889828
0.097,400.6725904741271
0.098,400.6732067638405
0.099,400.6755351756959
0.1,400.6795958270837
0.101,400.6844253404556
0.102,400.68895561893424
0.103,400.6920242772691
0.104,400.69293004182316
0.105,400.69296678179217
0.106,400.6954293243987
0.107,400.7044102785528
0.108,400.7219193677852
0.109,400.7458258287721
0.11,400.77108748206075
0.111,400.79274326713266
0.112,400.8072545415802
0.113,400.81475379848246
0.114,400.8182791749138
0.115,400.8206407673367
0.116,400.8240914359234
0.117,400.83260899975267
0.118,400.8564096350441
0.119,400.9150275742353
0.12,401.0336502808802
0.121,401.23885357890043
0.122,401.5534168345438
0.123,401.99159751505124
0.124,402.5551651617887
0.125,403.2371429504896
0.126,404.03194949299825
0.127,404.9309442278477
0.128,405.9226159754759
0.129,406.98619410695096
0.13,408.0726148536763
0.131,409.1060243916106
0.132,410.00967277969926
0.133,410.72767554077757
0.134,411.225798652332
0.135,411.50569305994196
0.136,411.61695449917414
0.137,411.6354392741915
0.138,411.63896778081266
0.139,411.70294783513486
0.14,411.89439822236716
0.141,412.26068059001415
0.142,412.83630111694487
0.143,413.6592645660631
0.144,414.76899271017646
0.145,416.1960931875386
0.146,417.9670756831819
0.147,420.11207138741406
0.148,422.63949346282396
0.149,425.493845727881
0.15,428.5653599209771
0.151,431.7137761954088
0.152,434.73226930714935
0.153,437.4831596422377
0.154,439.8731913798952
0.155,441.9064816239653
0.156,443.623313427972
0.157,445.08157570802774
0.158,446.36495927428933
0.159,447.5513885966981
0.16,448.6914003137867
0.161,449.8088939010864
0.162,450.89430754136635
0.163,451.902988724372
0.164,452.58358058976654
0.165,450.32395988477884
0.166,439.11532132422747
0.167,413.2284097089688
0.168,367.03112655636164
0.169,294.97309604142276
0.17,208.19086869956135
0.171,137.15619389810723
0.172,92.42507417326956
0.173,67.91130562514296
0.174,57.62093706510257
0.175,55.6328028591598
0.176,56.03430580985836
0.177,56.53336718660177
0.178,57.07244192466134
0.179,57.64540418218332
0.18,58.252829812690635
0.181,58.90508919540038
0.182,59.614719491218736
0.183,60.38634128741277
0.184,61.216064726917786
0.185,62.10158496910343
0.186,63.04746456875417
0.187,64.0594313634314
0.188,65.11896050238181
0.189,66.19912025833993
0.19,67.27801329656441
0.191,68.32380365329378
0.192,69.3018681880719
0.193,70.19060857672162
0.194,70.97766826341228
0.195,71.6537749265892
0.196,72.21326325053384
0.197,72.6615636971373
0.198,73.01331096561283
0.199,73.28389711942279
0.2,73.48845831321346
0.201,73.64266027529442
0.202,73.76056274936698
0.203,73.85295922921618
0.204,73.9287450030564
0.205,73.99619861934143
0.206,74.06092673554704
0.207,74.12413200573545
0.208,74.18521120267602
0.209,74.24365905039569
0.21,74.29763372146603
0.211,74.34434400404643
0.212,74.38246821352041
0.213,74.4128286702633
0.214,74.43595953175304
0.215,74.45158145337938
0.216,74.45948695016095
0.217,74.45955486909833
0.218,74.45261705170549
0.219,74.44075770641761
0.22,74.4264495373249
0.221,74.41242294224324
0.222,74.40140962468122
0.223,74.3949013412804
0.224,74.39233293200184
0.225,74.39197968379797
0.226,74.39188939931766
0.227,74.39081212578213
0.228,74.38861645633747
0.229,74.38498845871374
0.23,74.37974639993921
0.231,74.37305814764079
0.232,74.36483447856072
0.233,74.35518626545229
0.234,74.34497102613673
0.235,74.33605699637106
0.236,74.33023076445001
0.237,74.3279532641905
0.238,74.32786464724641
0.239,74.32703069787219
0.24,74.32336024231795
0.241,74.31658833470755
0.242,74.307939570296
0.243,74.30003128224912
0.244,74.29543631364437
0.245,74.29435291029851
0.246,74.29486045317627
0.247,74.29546373527377
0.248,74.29504697762334
0.249,74.29274690485472
0.25,74.28869081019543
0.251,74.2839346552209
0.252,74.280105856651
0.253,74.27973528787841
0.254,74.28534546377921
0.255,74.29765353118505
0.256,74.3142826106511
0.257,74.32993892130513
0.258,74.33958546757187
0.259,74.34227301019334
0.26,74.3400617780034
0.261,74.33453460387373
0.262,74.32816094016418
0.263,74.32288947344057
0.264,74.31938078278908
0.265,74.31815531035863
0.266,74.31842028818258
0.267,74.31517030247413
0.268,74.29641396421908
0.269,74.2417764679934
0.27,74.12572470908809
0.271,73.92168074391445
0.272,73.60748355170949
0.273,73.16946894489054
0.274,72.60602792881102
0.275,71.92407468713212
0.276,71.1292940147011
0.277,70.2304424309943
0.278,69.23910326273298
0.279,68.17653191475277
0.28,67.09245997091293
0.281,66.06247637674684
0.282,65.16260169116501
0.283,64.44828571721696
0.284,63.953231263997424
0.285,63.67516179870959
0.286,63.56458105595376
0.287,63.546192391028384
0.288,63.54272934197503
0.289,63.47947754190077
0.29,63.28997803729824
0.291,62.92702360312793
0.292,62.35564712184225
0.293,61.53704526682334
0.294,60.43085189387783
0.295,59.00594204654228
0.296,57.23585740142756
0.297,55.090981887593735
0.298,52.563577814768614
0.299,49.709448042518815
0.3,46.63848769160659
0.301,43.49025832916265
0.302,40.42761951524598
0.303,37.60713536205788
0.304,35.13273759889829
0.305,33.030108807283064
0.306,31.269591889047557
0.307,29.78810472860185
0.308,28.49696551115431
0.309,27.312805224921863
0.31,26.17929420085371
0.311,25.07017548809468
0.312,23.9943492378698
0.313,22.99555413461638
0.314,22.13797404919723
0.315,21.47345627165862
0.316,21.02214409005862
0.317,20.771407363588825
0.318,20.672341697332104
0.319,20.655612424706405
0.32,20.653735894328424
0.321,20.609900502514154
0.322,20.485057870525214
0.323,20.26320749184315
0.324,19.94451980311463
0.325,19.538984219942645
0.326,19.06893564384846
0.327,18.556509508880527
0.328,18.011900856400196
0.329,17.43889060981136
0.33,16.837216131119106
0.331,16.197856480720606
0.332,15.501726478191923
0.333,14.734889861547916
0.334,13.894141684531718
0.335,12.975805629862457
0.336,11.982286596593786
0.337,10.931950372248846
0.338,9.852951605561255
0.339,8.767891141255369
0.34,7.693280458254179
0.341,6.655466122378412
0.342,5.685046948038528
