time_s,ecg_raw,ecg_cleaned
2.999999999999999889e-02,6.830000000000000000e+02,2.165038684502624164e+02
3.099999999999999978e-02,7.000000000000000000e+02,2.220639581109617779e+02
3.200000000000000067e-02,7.100000000000000000e+02,2.251443130540993707e+02
3.300000000000000155e-02,7.160000000000000000e+02,2.255741381269083377e+02
3.400000000000000244e-02,7.180000000000000000e+02,2.232546754689768420e+02
3.500000000000000333e-02,7.150000000000000000e+02,2.181637522948306867e+02
3.599999999999999728e-02,7.050000000000000000e+02,2.103572244962440152e+02
3.699999999999999817e-02,6.910000000000000000e+02,1.999672477317965331e+02
3.799999999999999906e-02,6.710000000000000000e+02,1.871975117577054277e+02
3.899999999999999994e-02,6.410000000000000000e+02,1.723157423811763351e+02
4.000000000000000083e-02,6.080000000000000000e+02,1.556438967327644605e+02
4.100000000000000172e-02,5.720000000000000000e+02,1.375465611105803134e+02
4.200000000000000261e-02,5.370000000000000000e+02,1.184181157060936016e+02
4.299999999999999656e-02,5.070000000000000000e+02,9.866925870575727231e+01
4.399999999999999745e-02,4.830000000000000000e+02,7.871348238907604866e+01
4.499999999999999833e-02,4.640000000000000000e+02,5.895406586772911339e+01
4.599999999999999922e-02,4.490000000000000000e+02,3.977209488092788092e+01
4.700000000000000011e-02,4.380000000000000000e+02,2.151594216824447159e+01
4.800000000000000100e-02,4.290000000000000000e+02,4.492547434269027029e+00
4.900000000000000189e-02,4.210000000000000000e+02,-1.103927006353300477e+01
5.000000000000000278e-02,4.130000000000000000e+02,-2.487334395595868841e+01
5.099999999999999672e-02,4.050000000000000000e+02,-3.685852433399336547e+01
5.199999999999999761e-02,4.000000000000000000e+02,-4.689895815078436669e+01
5.299999999999999850e-02,4.010000000000000000e+02,-5.495245703189686282e+01
5.399999999999999939e-02,4.010000000000000000e+02,-6.102718848236906979e+01
5.500000000000000028e-02,3.990000000000000000e+02,-6.517696940387544657e+01
5.600000000000000117e-02,3.980000000000000000e+02,-6.749546184665008752e+01
5.700000000000000205e-02,3.970000000000000000e+02,-6.810957639938722252e+01
5.800000000000000294e-02,3.960000000000000000e+02,-6.717238838860291139e+01
5.899999999999999689e-02,3.970000000000000000e+02,-6.485587122829851126e+01
5.999999999999999778e-02,3.980000000000000000e+02,-6.134374575879692060e+01
6.099999999999999867e-02,3.980000000000000000e+02,-5.682472670658010117e+01
6.199999999999999956e-02,3.980000000000000000e+02,-5.148641389374332533e+01
6.300000000000000044e-02,4.010000000000000000e+02,-4.551002724085411444e+01
6.400000000000000133e-02,4.070000000000000000e+02,-3.906612349369655846e+01
6.500000000000000222e-02,4.120000000000000000e+02,-3.231136377272283511e+01
6.600000000000000311e-02,4.160000000000000000e+02,-2.538633210640141158e+01
6.700000000000000400e-02,4.240000000000000000e+02,-1.841434384627153875e+01
6.800000000000000488e-02,4.330000000000000000e+02,-1.150113419166031825e+01
6.900000000000000577e-02,4.420000000000000000e+02,-4.735282752748890545e+00
7.000000000000000666e-02,4.510000000000000000e+02,1.810789888338402154e+00
7.099999999999999367e-02,4.590000000000000000e+02,8.079424250982123468e+00
7.199999999999999456e-02,4.670000000000000000e+02,1.402608807136052604e+01
7.299999999999999545e-02,4.760000000000000000e+02,1.961765681121732996e+01
7.399999999999999634e-02,4.830000000000000000e+02,2.483073625751347180e+01
7.499999999999999722e-02,4.880000000000000000e+02,2.965012696050733609e+01
7.599999999999999811e-02,4.900000000000000000e+02,3.406749923296462867e+01
7.699999999999999900e-02,4.900000000000000000e+02,3.808031534716293010e+01
7.799999999999999989e-02,4.920000000000000000e+02,4.169100422575957055e+01
7.900000000000000078e-02,4.970000000000000000e+02,4.490636532666586334e+01
8.000000000000000167e-02,4.990000000000000000e+02,4.773715538026910821e+01
8.100000000000000255e-02,5.030000000000000000e+02,5.019779731738809403e+01
8.200000000000000344e-02,5.090000000000000000e+02,5.230614664836420502e+01
8.300000000000000433e-02,5.110000000000000000e+02,5.408325529819244082e+01
8.400000000000000522e-02,5.090000000000000000e+02,5.555308339755444536e+01
8.500000000000000611e-02,5.080000000000000000e+02,5.674212313819024445e+01
8.599999999999999312e-02,5.090000000000000000e+02,5.767891390678548902e+01
8.699999999999999400e-02,5.110000000000000000e+02,5.839344339660718219e+01
8.799999999999999489e-02,5.120000000000000000e+02,5.891644426521688871e+01
8.899999999999999578e-02,5.140000000000000000e+02,5.927860925125300184e+01
8.999999999999999667e-02,5.180000000000000000e+02,5.950975870437201110e+01
9.099999999999999756e-02,5.190000000000000000e+02,5.963800260248795126e+01
9.199999999999999845e-02,5.180000000000000000e+02,5.968894389631419983e+01
9.299999999999999933e-02,5.150000000000000000e+02,5.968497119823627628e+01
9.400000000000000022e-02,5.150000000000000000e+02,5.964468639107457193e+01
9.500000000000000111e-02,5.120000000000000000e+02,5.958250684713968326e+01
9.600000000000000200e-02,5.100000000000000000e+02,5.950847299071370600e+01
9.700000000000000289e-02,5.090000000000000000e+02,5.942828046057775282e+01
9.800000000000000377e-02,5.100000000000000000e+02,5.934354284350841624e+01
9.900000000000000466e-02,5.130000000000000000e+02,5.925227668869955266e+01
1.000000000000000056e-01,5.150000000000000000e+02,5.914958619216227476e+01
1.010000000000000064e-01,5.140000000000000000e+02,5.902851150566133498e+01
1.019999999999999934e-01,5.120000000000000000e+02,5.888099299792698815e+01
1.029999999999999943e-01,5.120000000000000000e+02,5.869889481432895906e+01
1.039999999999999952e-01,5.130000000000000000e+02,5.847502544154508541e+01
1.049999999999999961e-01,5.130000000000000000e+02,5.820409118970808038e+01
1.059999999999999970e-01,5.150000000000000000e+02,5.788352082412261268e+01
1.069999999999999979e-01,5.190000000000000000e+02,5.751410601439642534e+01
1.079999999999999988e-01,5.220000000000000000e+02,5.710041254364888630e+01
1.089999999999999997e-01,5.220000000000000000e+02,5.665093078209943656e+01
1.100000000000000006e-01,5.210000000000000000e+02,5.617794997464378781e+01
1.110000000000000014e-01,5.190000000000000000e+02,5.569715841131495182e+01
1.120000000000000023e-01,5.160000000000000000e+02,5.522698938957567805e+01
1.130000000000000032e-01,5.150000000000000000e+02,5.478774981963471902e+01
1.140000000000000041e-01,5.130000000000000000e+02,5.440058317260798759e+01
1.150000000000000050e-01,5.110000000000000000e+02,5.408633014440365372e+01
1.160000000000000059e-01,5.070000000000000000e+02,5.386435802396749040e+01
1.170000000000000068e-01,5.040000000000000000e+02,5.375143270527416917e+01
1.179999999999999938e-01,5.060000000000000000e+02,5.376070528873076881e+01
1.189999999999999947e-01,5.060000000000000000e+02,5.390087835748966683e+01
1.199999999999999956e-01,5.060000000000000000e+02,5.417560572402723551e+01
1.209999999999999964e-01,5.080000000000000000e+02,5.458316448917119601e+01
1.219999999999999973e-01,5.070000000000000000e+02,5.511642068185091148e+01
1.229999999999999982e-01,5.100000000000000000e+02,5.576309079298688687e+01
1.239999999999999991e-01,5.150000000000000000e+02,5.650628252409668306e+01
1.250000000000000000e-01,5.180000000000000000e+02,5.732528038355712141e+01
1.260000000000000009e-01,5.190000000000000000e+02,5.819652662126824794e+01
1.270000000000000018e-01,5.220000000000000000e+02,5.909473643813918642e+01
1.280000000000000027e-01,5.260000000000000000e+02,5.999407920613504785e+01
1.290000000000000036e-01,5.260000000000000000e+02,6.086935502029414380e+01
1.300000000000000044e-01,5.260000000000000000e+02,6.169709834624774203e+01
1.310000000000000053e-01,5.270000000000000000e+02,6.245654753237887036e+01
1.320000000000000062e-01,5.300000000000000000e+02,6.313042989712452879e+01
1.330000000000000071e-01,5.290000000000000000e+02,6.370552607107652676e+01
1.340000000000000080e-01,5.270000000000000000e+02,6.417299315812876159e+01
1.350000000000000089e-01,5.240000000000000000e+02,6.452844285415517334e+01
1.360000000000000098e-01,5.230000000000000000e+02,6.477178668471000833e+01
1.370000000000000107e-01,5.240000000000000000e+02,6.490687483687217707e+01
1.380000000000000115e-01,5.230000000000000000e+02,6.494096667848542381e+01
1.390000000000000124e-01,5.220000000000000000e+02,6.488407924022747864e+01
1.400000000000000133e-01,5.220000000000000000e+02,6.474826423961641808e+01
1.409999999999999865e-01,5.220000000000000000e+02,6.454686453342685581e+01
1.419999999999999873e-01,5.210000000000000000e+02,6.429379740270914567e+01
1.429999999999999882e-01,5.200000000000000000e+02,6.400290530685535373e+01
1.439999999999999891e-01,5.210000000000000000e+02,6.368740544052474206e+01
1.449999999999999900e-01,5.240000000000000000e+02,6.335945851600897782e+01
1.459999999999999909e-01,5.250000000000000000e+02,6.302986569141210538e+01
1.469999999999999918e-01,5.260000000000000000e+02,6.270789149004937713e+01
1.479999999999999927e-01,5.250000000000000000e+02,6.240120083811027740e+01
1.489999999999999936e-01,5.270000000000000000e+02,6.211589074622004603e+01
1.499999999999999944e-01,5.280000000000000000e+02,6.185659220351298870e+01
1.509999999999999953e-01,5.290000000000000000e+02,6.162661579312206328e+01
1.519999999999999962e-01,5.290000000000000000e+02,6.142811533855670092e+01
1.529999999999999971e-01,5.300000000000000000e+02,6.126224723666903316e+01
1.539999999999999980e-01,5.310000000000000000e+02,6.112930847188824401e+01
1.549999999999999989e-01,5.290000000000000000e+02,6.102884290959345037e+01
