beat_index,peak_sample,peak_time_s,peak_value,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,compensatory_pause_index,qrs_width_ms,qrs_peak_to_peak,qrs_area_abs,qrs_max_slope,template_corr,is_extrasystole_candidate
10,4801,4.801,-132.12953000204226,0.4370000000000003,0.6390000000000002,0.4229999999999947,1.0330969267139616,1.5106382978723598,24.999999999986144,301.6415798265425,5.50251519030761,21106.17885467863,0.7328771504301516,0
11,5440,5.44,-10.072233541239267,0.6390000000000002,0.32399999999999984,0.4229999999999947,1.5106382978723598,0.7659574468085198,99.99999999994458,13.569850293661762,0.31183886955627527,691.8727653848762,0.05170955752255815,0
12,5764,5.764,-147.47267616699833,0.32399999999999984,0.9329999999999998,0.4229999999999947,0.7659574468085198,2.2056737588652755,35.99999999998005,293.59355817607394,5.366883003206807,20757.8020401215,0.793011187432133,0
13,6697,6.697,-137.28235770954552,0.9329999999999998,0.5889999999999995,0.4229999999999947,2.2056737588652755,1.3924349881796854,35.99999999998005,295.6907199738607,5.488261284251681,20378.122887355865,0.7373234338388028,0
14,7286,7.286,-16.92013780755968,0.5889999999999995,0.37400000000000055,0.4229999999999947,1.3924349881796854,0.8841607565011944,206.9999999998853,15.762538193403953,0.3526862014519156,626.7726808089825,0.09549976328003161,0
15,7660,7.66,-140.73378602997252,0.37400000000000055,0.7059999999999995,0.4229999999999947,0.8841607565011944,1.6690307328605398,25.99999999998559,321.87221635194,5.790410489844706,22554.717193579523,0.7115308591405765,0
16,8366,8.366,-5.431909509576526,0.7059999999999995,0.2569999999999997,0.4229999999999947,1.6690307328605398,0.6075650118203378,203.99999999988694,13.975983590749097,0.42650002931770575,1217.1899163324888,-0.017915797227214904,0
17,8623,8.623,-141.9854894433183,0.2569999999999997,0.25,0.4229999999999947,0.6075650118203378,0.5910165484633644,23.9999999999867,311.1514802985919,5.651288715869955,21737.193262632918,0.7444143730378118,0
18,8873,8.873,-10.328927550232653,0.25,0.31700000000000017,0.4229999999999947,0.5910165484633644,0.7494089834515464,97.99999999994569,32.93728078177012,1.107081455810932,1366.9235673882993,0.04690258900505961,0
19,9190,9.19,-4.831599434293694,0.31700000000000017,0.38700000000000045,0.4229999999999947,0.7494089834515464,0.9148936170212891,23.9999999999867,11.872618241954997,0.2914313681092488,951.513529055154,-0.01660739368902575,0
20,9577,9.577,-147.0800930844752,0.38700000000000045,0.36299999999999955,0.4229999999999947,0.9148936170212891,0.858156028368804,38.999999999978385,286.1769553119285,5.443011331628689,19836.366403596825,0.8253042780447731,0
